month,total_in,total_out,unique_days,avg_daily_in,avg_daily_out
2025-01,36693,40572,27,1359.0,1502.67
2025-02,33609,36831,24,1400.38,1534.62
2025-03,30054,31947,26,1155.92,1228.73
2025-04,35075,38249,26,1349.04,1471.12
2025-05,32985,36922,26,1268.65,1420.08
2025-06,29322,33343,26,1127.77,1282.42
2025-07,29039,32203,25,1161.56,1288.12
2025-08,33560,35704,26,1290.77,1373.23
2025-09,28991,29457,25,1159.64,1178.28
2025-10,31167,31937,27,1154.33,1182.85
2025-11,26342,27233,24,1097.58,1134.71
2025-12,31697,32798,26,1219.12,1261.46
2026-01,30851,31914,26,1186.58,1227.46
2026-02,4292,4304,4,1073.0,1076.0
